unix_s,utilisation_pct,power_w,sm_clock_mhz,memory_used_mib
1788183882,97,167.05,1920,1099
1788183883,97,341.79,1905,1099
1788183884,97,342.43,1905,1099
1788183885,97,343.21,1905,1099
1788183886,97,343.93,1905,1099
1788183887,97,343.89,1905,1099
1788183888,0,265.99,1905,1099
1788183889,0,176.05,1905,1099
1788183890,0,142.24,1740,1099
1788183891,97,136.45,1905,1099
1788183892,0,192.24,1905,1099
1788183893,0,169.61,1740,1099
1788183894,0,143.58,1740,1099
1788183895,97,169.72,1905,1099
1788183896,97,344.29,1905,1099
1788183897,97,345.38,1905,1099
1788183898,97,345.90,1905,1099
1788183899,97,346.57,1905,1099
1788183900,97,347.10,1905,1099
1788183901,0,173.11,1905,1099
1788183902,0,143.26,1740,1099
1788183903,0,133.91,1740,1099
1788183904,0,158.68,1905,1099
1788183905,0,173.26,1905,1099
1788183906,0,144.66,1740,1099
1788183908,0,134.69,1905,1099
1788183909,97,272.82,1905,1099
1788183910,97,348.10,1905,1099
1788183911,97,349.35,1890,1099
1788183912,97,346.75,1890,1099
1788183913,97,346.48,1890,1099
1788183914,0,266.45,1905,1099
1788183915,0,176.92,1905,1099
1788183916,0,144.06,1740,1099
1788183917,97,137.79,1875,1099
1788183918,0,192.03,1905,1099
1788183919,0,169.46,1905,1099
1788183920,0,144.99,1740,1099
1788183921,97,172.29,1905,1099
1788183922,97,348.91,1890,1099
1788183923,97,348.75,1890,1099
1788183924,97,346.45,1890,1099
1788183925,97,346.23,1890,1099
1788183926,97,346.26,1890,1099
1788183927,0,264.70,1905,1099
1788183928,0,175.10,1905,1099
1788183929,0,135.18,1740,1099
1788183930,0,158.85,1905,1099
1788183931,0,167.82,1905,1099
1788183932,0,145.48,1740,1099
1788183933,0,135.57,1740,1099
1788183934,97,278.48,1905,1099
1788183935,97,347.10,1890,1099
1788183936,97,346.38,1890,1099
1788183937,97,346.43,1890,1099
1788183938,97,345.86,1890,1099
1788183939,97,346.04,1890,1099
1788183941,0,173.98,1905,1099
1788183942,0,144.40,1740,1099
1788183943,0,135.18,1740,1099
1788183944,0,158.96,1905,1099
1788183945,0,167.14,1905,1099
1788183946,0,145.79,1740,1099
1788183947,97,174.09,1905,1099
1788183948,97,347.58,1905,1099
1788183949,97,346.40,1890,1099
1788183950,97,345.90,1890,1099
1788183951,97,346.30,1890,1099
1788183952,97,346.13,1890,1099
1788183953,0,263.72,1890,1099
1788183954,0,174.46,1905,1099
1788183955,0,145.61,1740,1099
1788183956,96,141.36,1905,1099
1788183957,0,188.89,1905,1099
1788183958,0,166.35,1740,1099
1788183959,0,145.76,1740,1099
1788183960,97,175.62,1905,1099
1788183961,97,347.59,1890,1099
1788183962,97,346.17,1890,1099
1788183963,97,345.98,1890,1099
1788183964,97,346.44,1890,1099
1788183965,97,346.23,1890,1099
1788183966,0,172.37,1890,1099
1788183967,0,145.16,1740,1099
1788183968,0,136.08,1740,1099
1788183969,0,160.70,1905,1099
1788183970,0,171.75,1905,1099
1788183971,0,145.76,1740,1099
1788183972,0,136.16,1905,1099
1788183974,97,276.49,1890,1099
1788183975,97,347.12,1890,1099
1788183976,97,346.32,1890,1099
1788183977,97,346.08,1890,1099
1788183978,97,346.49,1890,1099
1788183979,97,346.85,1890,1099
1788183980,0,177.70,1890,1099
1788183981,0,145.62,1740,1099
1788183982,97,139.84,1875,1099
1788183983,0,193.17,1905,1099
1788183984,0,170.57,1905,1099
1788183985,0,146.57,1740,1099
1788183986,97,174.19,1905,1099
1788183987,97,347.57,1890,1099
1788183988,97,346.11,1890,1099
1788183989,97,346.64,1890,1099
1788183990,97,346.45,1890,1099
1788183991,97,346.46,1890,1099
1788183992,0,264.93,1890,1099
1788183993,0,175.88,1890,1099
1788183994,0,146.38,1740,1099
1788183995,97,141.16,1905,1099
1788183996,0,168.16,1905,1099
1788183997,0,146.09,1740,1099
1788183998,0,128.13,1740,1099
1788183999,97,278.36,1890,1099
1788184000,97,346.30,1890,1099
1788184001,97,346.15,1890,1099
1788184002,97,346.61,1890,1099
1788184003,97,347.05,1890,1099
1788184004,97,347.15,1890,1099
1788184005,0,175.19,1890,1099
1788184007,0,146.70,1740,1099
1788184008,0,137.37,1740,1099
1788184009,0,160.51,1905,1099
1788184010,0,167.84,1905,1099
1788184011,0,146.28,1740,1099
1788184012,0,127.82,1905,1099
1788184013,97,347.08,1890,1099
1788184014,97,346.09,1890,1099
1788184015,97,346.12,1890,1099
1788184016,97,346.56,1890,1099
1788184017,97,347.14,1890,1099
1788184018,0,265.20,1890,1099
1788184019,0,176.11,1890,1099
1788184020,0,140.31,1740,1099
1788184021,97,145.49,1905,1099
1788184022,0,193.44,1905,1099
1788184023,0,170.75,1740,1099
1788184024,0,146.88,1740,1099
1788184025,97,175.17,1890,1099
1788184026,97,346.79,1890,1099
1788184027,97,346.20,1890,1099
1788184028,97,347.03,1890,1099
1788184029,97,347.15,1890,1099
1788184030,97,347.65,1890,1099
1788184031,0,175.94,1890,1099
1788184032,0,146.77,1740,1099
1788184033,0,137.59,1740,1099
1788184034,0,161.75,1905,1099
1788184035,0,175.57,1905,1099
1788184036,0,146.77,1740,1099
1788184037,0,137.00,1905,1099
1788184038,98,274.79,1890,1099
1788184040,97,345.89,1890,1099
1788184041,97,346.72,1890,1099
1788184042,97,346.93,1890,1099
1788184043,97,347.73,1890,1099
1788184044,97,347.60,1890,1099
1788184045,0,182.57,1890,1099
1788184046,0,146.87,1740,1099
1788184047,96,138.56,1740,1099
1788184048,0,198.10,1905,1099
1788184049,0,176.18,1905,1099
1788184050,0,146.88,1740,1099
1788184051,97,171.43,1905,1099
1788184052,97,346.91,1890,1099
1788184053,97,346.44,1890,1099
1788184054,97,346.99,1890,1099
1788184055,97,347.24,1890,1099
1788184056,97,347.70,1890,1099
1788184057,0,275.11,1890,1099
1788184058,0,186.38,1890,1099
1788184059,0,150.74,1740,1099
1788184060,97,136.73,1905,1099
1788184061,0,200.32,1905,1099
1788184062,0,147.32,1740,1099
1788184063,0,137.72,1740,1099
1788184064,97,271.14,1890,1099
1788184065,97,346.32,1890,1099
1788184066,97,346.68,1890,1099
1788184067,97,347.56,1890,1099
1788184068,97,347.34,1890,1099
1788184069,97,347.70,1890,1099
1788184070,0,187.73,1890,1099
1788184071,0,150.64,1740,1099
1788184073,0,140.10,1740,1099
1788184074,0,162.94,1905,1099
1788184075,0,180.15,1905,1099
1788184076,0,146.96,1740,1099
1788184077,0,137.35,1905,1099
1788184078,97,272.43,1890,1099
1788184079,98,346.52,1890,1099
1788184080,97,346.92,1890,1099
1788184081,97,347.27,1890,1099
1788184082,97,348.21,1890,1099
1788184083,0,275.39,1890,1099
1788184084,0,186.28,1890,1099
1788184085,0,150.95,1740,1099
1788184086,96,137.13,1905,1099
1788184087,0,200.71,1905,1099
1788184088,0,179.12,1740,1099
1788184089,0,146.93,1740,1099
1788184090,97,170.95,1890,1099
1788184091,97,346.54,1890,1099
1788184092,97,346.72,1890,1099
1788184093,97,347.22,1890,1099
1788184094,97,347.66,1890,1099
1788184095,97,346.21,1890,1099
1788184096,0,186.92,1890,1099
1788184097,0,151.44,1740,1099
1788184098,0,140.42,1740,1099
1788184099,0,194.19,1905,1099
1788184100,0,170.20,1905,1099
1788184101,0,145.56,1740,1099
1788184102,0,136.70,1740,1099
1788184103,97,271.52,1890,1099
1788184104,97,346.36,1890,1099
1788184106,97,346.83,1890,1099
1788184107,97,347.53,1890,1099
1788184108,97,347.74,1890,1099
1788184109,97,348.20,1890,1099
1788184110,0,177.50,1890,1099
1788184111,0,149.20,1740,1099
1788184112,96,141.89,1740,1099
1788184113,0,200.10,1905,1099
1788184114,0,172.46,1905,1099
1788184115,0,145.38,1740,1099
1788184116,97,168.92,1905,1099
1788184117,97,346.71,1890,1099
1788184118,97,346.65,1890,1099
1788184119,97,346.91,1890,1099
1788184120,97,347.35,1890,1099
1788184121,97,347.75,1890,1099
1788184122,0,271.40,1890,1099
1788184123,0,182.10,1890,1099
1788184124,0,149.35,1740,1099
1788184125,97,140.29,1905,1099
1788184126,0,203.59,1905,1099
1788184127,0,176.06,1740,1099
1788184128,0,136.54,1740,1099
1788184129,97,266.64,1890,1099
1788184130,97,346.46,1890,1099
1788184131,97,347.07,1890,1099
1788184132,97,347.27,1890,1099
1788184133,97,347.65,1890,1099
1788184134,97,348.05,1890,1099
1788184135,0,186.72,1890,1099
1788184136,0,149.99,1740,1099
1788184137,0,139.55,1740,1099
1788184139,0,166.38,1905,1099
1788184140,0,180.32,1905,1099
1788184141,0,141.82,1740,1099
1788184142,0,139.54,1905,1099
1788184143,97,234.63,1890,1099
1788184144,97,346.32,1890,1099
1788184145,97,346.98,1890,1099
1788184146,97,347.71,1890,1099
1788184147,97,347.82,1890,1099
1788184148,0,274.77,1890,1099
1788184149,0,185.80,1890,1099
1788184150,0,149.52,1740,1099
1788184151,97,137.11,1740,1099
1788184152,0,194.70,1905,1099
1788184153,0,173.78,1740,1099
1788184154,0,145.49,1740,1099
1788184155,97,162.47,1890,1099
1788184156,97,346.69,1890,1099
1788184157,97,346.41,1890,1099
1788184158,97,346.71,1890,1099
1788184159,97,347.31,1890,1099
1788184160,97,347.79,1890,1099
1788184161,0,197.82,1890,1099
1788184162,0,179.98,1890,1099
1788184163,0,148.04,1740,1099
1788184164,0,163.26,1905,1099
1788184165,0,176.06,1905,1099
1788184166,0,147.76,1740,1099
1788184167,0,137.95,1740,1099
1788184168,97,268.83,1890,1099
1788184169,97,346.35,1890,1099
1788184170,97,347.50,1890,1099
1788184172,97,347.25,1890,1099
1788184173,97,347.48,1890,1099
1788184174,97,347.96,1890,1099
1788184175,0,200.07,1890,1099
1788184176,0,182.26,1740,1099
1788184177,0,148.16,1740,1099
1788184178,0,201.92,1905,1099
1788184179,0,174.07,1905,1099
1788184180,0,147.69,1740,1099
1788184181,96,164.04,1905,1099
1788184182,97,346.88,1890,1099
1788184183,97,346.64,1890,1099
1788184184,97,347.11,1890,1099
1788184185,97,347.66,1890,1099
1788184186,97,348.02,1890,1099
1788184187,0,288.91,1890,1099
1788184188,0,182.39,1890,1099
1788184189,0,148.19,1740,1099
1788184190,0,138.95,1740,1099
1788184191,0,174.72,1905,1099
1788184192,0,175.95,1905,1099
1788184193,0,149.50,1740,1099
1788184194,0,128.98,1905,1099
1788184195,97,346.60,1890,1099
1788184196,97,346.80,1890,1099
1788184197,97,347.42,1890,1099
1788184198,97,347.78,1890,1099
1788184199,97,348.21,1890,1099
1788184200,0,262.50,1890,1099
1788184201,0,173.37,1890,1099
1788184202,0,147.90,1740,1099
1788184203,97,145.29,1905,1099
1788184205,0,188.37,1905,1099
1788184206,0,177.13,1740,1099
1788184207,0,149.99,1740,1099
1788184208,97,173.29,1890,1099
1788184209,97,345.96,1890,1099
1788184210,97,346.80,1890,1099
1788184211,97,347.63,1890,1099
1788184212,97,347.88,1890,1099
1788184213,97,348.17,1890,1099
1788184214,0,175.76,1890,1099
1788184215,0,148.39,1740,1099
1788184216,0,138.88,1740,1099
1788184217,0,161.69,1905,1099
1788184218,0,167.78,1905,1099
1788184219,0,147.80,1740,1099
1788184220,0,138.43,1740,1097
1788184221,0,130.07,1740,185
1788184222,0,130.23,1740,185
1788184223,0,58.92,405,185
1788184224,0,34.29,210,185
1788184225,0,31.39,210,185
1788184226,0,29.84,210,185
1788184227,0,29.86,210,185
1788184228,0,29.75,210,185
1788184229,0,29.66,210,185
1788184230,0,29.54,210,185
1788184231,0,29.38,210,185
1788184232,0,29.16,210,185
1788184233,0,29.06,210,185
1788184234,0,29.32,210,185
1788184236,0,29.12,210,185
1788184237,0,28.82,210,185
1788184238,0,28.85,210,185
1788184239,0,28.65,210,185
1788184240,0,28.81,210,185
1788184241,0,28.86,210,185
1788184242,0,28.49,210,185
1788184243,0,28.61,210,185
1788184244,0,28.67,210,185
1788184245,0,28.69,210,185
1788184246,0,28.49,210,185
1788184247,0,28.19,210,185
1788184248,0,28.28,210,185
1788184249,0,28.16,210,185
1788184250,0,28.41,210,185
1788184251,0,28.20,210,185
1788184252,0,28.00,210,185
1788184253,0,27.99,210,185
1788184254,0,28.29,210,185
1788184255,0,28.14,210,185
1788184256,0,27.89,210,185
1788184257,0,27.96,210,185
1788184258,0,27.82,210,185
1788184259,0,28.01,210,185
1788184260,0,33.60,210,185
1788184261,0,33.82,210,185
1788184262,0,28.17,210,185
1788184263,0,27.91,210,185
1788184265,0,27.90,210,185
1788184266,0,27.83,210,185
1788184267,0,27.66,210,185
1788184268,0,27.63,210,185
1788184269,0,27.91,210,185
1788184270,0,27.77,210,185
1788184271,0,27.54,210,185
1788184272,0,27.59,210,185
1788184273,0,27.47,210,185
1788184274,0,27.69,210,185
1788184275,0,27.76,210,185
1788184276,0,27.40,210,185
1788184277,0,27.40,210,185
1788184278,0,27.63,210,185
1788184279,0,28.00,210,185
1788184280,0,27.87,210,185
1788184281,0,27.50,210,185
1788184282,0,27.40,210,185
1788184283,0,30.23,735,188
1788184284,0,90.37,1740,22589
1788184285,0,119.05,1740,22591
1788184286,0,119.14,1740,22591
1788184287,0,119.14,1740,22591
1788184288,0,119.63,1740,22603
1788184289,0,151.27,1935,22607
1788184290,32,167.12,1740,22607
1788184291,0,147.45,1740,22607
1788184292,92,231.94,1875,22607
1788184293,93,348.83,1875,22607
1788184295,93,347.99,1875,22607
1788184296,91,348.42,1875,22607
1788184297,93,348.21,1920,22607
1788184298,0,276.95,1920,22607
1788184299,0,158.88,1920,22607
1788184300,0,139.26,1740,22607
1788184301,39,149.25,1740,22607
1788184302,0,160.56,1905,22607
1788184303,0,148.78,1905,22607
1788184304,0,136.12,1740,22607
1788184305,93,162.33,1875,22607
1788184306,93,348.21,1875,22607
1788184307,93,348.51,1860,22607
1788184308,93,348.59,1860,22607
1788184309,93,348.35,1860,22607
1788184310,0,253.21,1920,22607
1788184311,0,178.99,1920,22607
1788184312,0,140.55,1740,22607
1788184313,40,131.05,1770,22607
1788184314,0,179.98,1770,22607
1788184315,0,140.89,1770,22607
1788184316,0,122.37,1740,22607
1788184317,92,147.18,1875,22607
1788184318,92,347.64,1860,22607
1788184319,93,348.31,1860,22607
1788184320,93,348.32,1845,22607
1788184321,93,348.51,1860,22607
1788184322,0,275.49,1905,22607
1788184323,0,165.07,1905,22607
1788184325,0,143.30,1740,22607
1788184326,27,125.93,1740,22607
1788184327,0,184.83,1740,22607
1788184328,0,132.50,1740,22607
1788184329,0,122.89,1740,22607
1788184330,0,122.73,1740,22607
1788184331,94,192.12,1875,22607
1788184332,93,348.83,1860,22607
1788184333,93,348.17,1860,22607
1788184334,93,348.90,1845,22607
1788184335,93,348.78,1860,22607
1788184336,0,216.80,1905,22607
1788184337,0,180.05,1740,22607
1788184338,0,141.81,1740,22607
1788184339,39,142.51,1740,22607
1788184340,0,163.65,1740,22607
1788184341,0,140.27,1740,22607
1788184342,0,123.29,1740,22607
1788184343,93,147.56,1860,22607
1788184344,93,347.53,1860,22607
1788184345,93,348.31,1860,22607
1788184346,93,348.39,1860,22607
1788184347,93,348.17,1845,22607
1788184348,0,174.88,1905,22607
1788184349,0,142.76,1740,22607
1788184350,0,133.47,1740,22607
1788184351,39,150.93,1740,22607
1788184352,0,146.90,1740,22607
1788184353,0,139.13,1740,22607
1788184354,0,124.56,1740,22607
1788184356,93,170.60,1860,22607
1788184357,93,348.48,1845,22607
1788184358,92,348.35,1845,22607
1788184359,92,348.48,1830,22607
1788184360,93,348.08,1875,22607
1788184361,0,245.80,1905,22607
1788184362,0,143.25,1740,22607
1788184363,0,134.40,1740,22607
1788184364,40,181.80,1740,22607
1788184365,0,139.19,1740,22607
1788184366,0,125.04,1740,22607
1788184367,0,124.93,1740,22607
1788184368,93,180.70,1845,22607
1788184369,93,348.30,1845,22607
1788184370,93,348.67,1845,22607
1788184371,92,348.77,1845,22607
1788184372,92,348.25,1875,22607
1788184373,0,227.63,1905,22607
1788184374,0,173.11,1740,22607
1788184375,0,143.69,1740,22607
1788184376,37,142.66,1740,22607
1788184377,0,138.53,1740,22607
1788184378,0,125.34,1740,22607
1788184379,0,125.21,1740,22607
1788184380,93,257.45,1845,22607
1788184381,93,348.55,1845,22607
1788184382,93,348.53,1845,22607
1788184383,92,348.78,1830,22607
1788184384,92,348.14,1875,22607
1788184385,0,206.07,1905,22607
1788184387,0,169.51,1740,22607
1788184388,0,143.80,1740,22607
1788184389,40,147.68,1740,22607
1788184390,0,161.33,1740,22607
1788184391,0,137.77,1740,22607
1788184392,0,125.77,1740,22607
1788184393,93,270.80,1845,22607
1788184394,93,348.29,1830,22607
1788184395,93,348.56,1830,22607
1788184396,93,348.25,1830,22607
1788184397,92,348.17,1890,22607
1788184398,0,184.35,1905,22607
1788184399,0,146.28,1740,22607
1788184400,0,136.37,1740,22607
1788184401,39,152.26,1755,22607
1788184402,0,153.39,1755,22607
1788184403,0,145.30,1740,22607
1788184404,0,126.84,1740,22607
1788184405,93,170.22,1845,22607
1788184406,92,348.58,1845,22607
1788184407,93,348.71,1845,22607
1788184408,93,348.15,1830,22607
1788184409,85,347.72,1890,22607
1788184410,0,185.88,1905,22607
1788184411,0,146.93,1740,22607
1788184412,0,136.97,1740,22607
1788184413,41,172.45,1740,22607
1788184414,0,151.05,1740,22607
1788184415,0,143.18,1740,22607
1788184416,0,126.45,1740,22607
1788184418,92,169.25,1845,22607
1788184419,93,348.40,1845,22607
1788184420,93,348.39,1830,22607
1788184421,93,348.56,1830,22607
1788184422,92,348.60,1830,22607
1788184423,0,256.30,1905,22607
1788184424,0,144.80,1740,22607
1788184425,0,135.76,1740,22607
1788184426,39,178.37,1755,22607
1788184427,0,149.75,1770,22607
1788184428,0,141.65,1740,22607
1788184429,0,128.70,1740,22607
1788184430,93,179.66,1845,22607
1788184431,93,348.66,1845,22607
1788184432,91,348.36,1830,22607
1788184433,93,348.10,1830,22607
1788184434,93,348.39,1830,22607
1788184435,0,241.83,1905,22607
1788184436,0,169.71,1740,22607
1788184437,0,147.20,1740,22607
1788184438,37,141.33,1770,22607
1788184439,0,139.45,1770,22607
1788184440,0,128.92,1740,22607
1788184441,0,128.53,1740,22607
1788184442,93,201.26,1845,22607
1788184443,92,347.79,1845,22607
1788184444,93,347.93,1830,22607
1788184445,93,348.19,1830,22607
1788184446,93,348.43,1830,22607
1788184448,0,222.27,1905,22607
1788184449,0,186.21,1740,22607
1788184450,0,148.93,1740,22607
1788184451,39,145.79,1740,22607
1788184452,0,167.88,1740,22607
1788184453,0,143.86,1740,22607
1788184454,0,126.85,1740,22607
1788184455,93,249.53,1845,22607
1788184456,92,348.77,1830,22607
1788184457,92,348.11,1830,22607
1788184458,92,348.28,1830,22607
1788184459,93,348.30,1830,22607
1788184460,0,204.76,1890,22607
1788184461,0,168.77,1740,22607
1788184462,0,147.60,1740,22607
1788184463,40,149.41,1740,22607
1788184464,0,162.02,1740,22607
1788184465,0,137.60,1740,22607
1788184466,0,127.28,1740,22607
1788184467,93,161.67,1845,22607
1788184468,93,347.44,1830,22607
1788184469,92,348.22,1830,22607
1788184470,93,348.22,1830,22607
1788184471,93,348.35,1830,22607
1788184472,0,186.52,1905,22607
1788184473,0,149.32,1740,22607
1788184474,0,138.62,1740,22607
1788184475,0,128.08,1740,22607
1788184476,39,133.50,1740,22607
1788184477,0,186.96,1740,22607
1788184479,0,138.89,1740,22607
1788184480,0,127.11,1740,22607
1788184481,0,127.38,1860,22607
1788184482,93,272.98,1845,22607
1788184483,93,348.24,1830,22607
1788184484,93,348.04,1830,22607
1788184485,92,348.18,1830,22607
1788184486,0,251.30,1890,22607
1788184487,0,179.07,1905,22607
1788184488,0,147.35,1740,22607
1788184489,41,135.99,1740,22607
1788184490,0,185.69,1740,22607
1788184491,0,138.15,1740,22607
1788184492,0,127.19,1740,22607
1788184493,0,127.09,1845,22607
1788184494,93,335.14,1830,22607
1788184495,92,347.31,1830,22607
1788184496,92,348.46,1830,22607
1788184497,93,347.96,1830,22607
1788184498,10,333.09,1890,22607
1788184499,0,171.95,1905,22607
1788184500,0,139.03,1740,22607
1788184501,41,147.43,1770,22607
1788184502,0,183.08,1770,22607
1788184503,0,141.59,1770,22607
1788184504,0,129.43,1740,22607
1788184505,92,140.95,1845,22607
1788184506,93,343.41,1845,22607
1788184507,93,347.96,1845,22607
1788184509,93,347.89,1830,22607
1788184510,93,348.31,1830,22607
1788184511,0,311.97,1890,22607
1788184512,0,186.39,1890,22607
1788184513,0,148.05,1740,22607
1788184514,0,138.01,1770,22607
1788184515,0,183.67,1785,22607
1788184516,0,142.12,1785,22607
1788184517,0,130.69,1740,22607
1788184518,93,155.03,1845,22607
1788184519,93,347.70,1845,22607
1788184520,93,348.24,1830,22607
1788184521,93,348.18,1830,22607
1788184522,92,348.33,1830,22607
1788184523,0,292.07,1890,22607
1788184524,0,184.44,1890,22607
1788184525,0,148.34,1740,22607
1788184526,0,128.45,1740,22607
1788184527,0,176.55,1740,22607
1788184528,0,143.60,1740,22607
1788184529,0,127.65,1740,22607
1788184530,0,127.76,1845,22607
1788184531,93,348.78,1830,22607
1788184532,93,348.13,1845,22607
1788184533,93,348.14,1830,22607
1788184534,93,348.11,1830,22607
1788184535,0,269.45,1890,22607
1788184536,0,179.70,1890,22607
1788184537,0,148.21,1740,22607
1788184538,40,134.21,1740,22607
1788184540,0,191.89,1755,22607
1788184541,0,144.13,1755,22607
1788184542,0,128.86,1740,22607
1788184543,0,127.60,1845,22607
1788184544,93,273.32,1830,22607
1788184545,93,348.27,1830,22607
1788184546,93,348.45,1830,22607
1788184547,93,348.39,1830,22607
1788184548,0,251.59,1890,22607
1788184549,0,179.74,1890,22607
1788184550,0,148.72,1740,22607
1788184551,41,134.51,1740,22607
1788184552,0,189.96,1740,22607
1788184553,0,141.37,1740,22607
1788184554,0,127.77,1740,22607
1788184555,0,127.91,1740,22607
1788184556,93,191.58,1845,22607
1788184557,93,348.16,1830,22607
1788184558,93,348.38,1830,22607
1788184559,93,348.31,1830,22607
1788184560,93,348.04,1890,22607
1788184561,0,182.48,1890,22607
1788184562,0,148.17,1740,22607
1788184563,0,138.09,1740,22607
1788184564,40,163.37,1770,22607
1788184565,0,168.04,1770,22607
1788184566,0,143.34,1770,22607
1788184567,0,128.69,1740,22607
1788184568,93,155.18,1845,22607
1788184570,93,343.58,1830,22607
1788184571,93,347.80,1830,22607
1788184572,93,347.87,1830,22607
1788184573,93,348.70,1830,22607
1788184574,0,284.93,1890,22607
1788184575,0,178.21,1890,22607
1788184576,0,146.33,1740,22607
1788184577,40,152.86,1770,22607
1788184578,0,160.62,1770,22607
1788184579,0,144.28,1770,22607
1788184580,0,129.10,1740,22607
1788184581,93,172.53,1845,22607
1788184582,93,348.16,1845,22607
1788184583,93,348.55,1830,22607
1788184584,94,348.14,1830,22607
1788184585,93,348.25,1830,22607
1788184586,0,263.01,1890,22607
1788184587,0,173.24,1890,22607
1788184588,0,146.85,1740,22607
1788184589,40,135.82,1755,22607
1788184590,0,190.05,1755,22607
1788184591,0,140.96,1755,22607
1788184592,0,128.45,1740,22607
1788184593,92,181.75,1845,22607
1788184594,92,348.18,1830,22607
1788184595,93,348.31,1830,22607
1788184596,93,348.24,1830,22607
1788184597,93,348.49,1830,22607
1788184598,0,245.20,1890,22607
1788184600,0,173.62,1890,22607
1788184601,0,146.73,1740,22607
1788184602,0,137.35,1740,22607
1788184603,40,163.32,1740,22607
1788184604,0,147.86,1740,22607
1788184605,0,139.47,1740,22607
1788184606,0,127.87,1740,22607
1788184607,93,335.10,1830,22607
1788184608,93,347.87,1830,22607
1788184609,93,348.26,1830,22607
1788184610,93,348.45,1845,22607
1788184611,14,316.37,1890,22607
1788184612,0,173.33,1890,22607
1788184613,0,146.89,1740,22607
1788184614,0,137.64,1740,22607
1788184615,41,185.37,1755,22607
1788184616,0,145.48,1755,22607
1788184617,0,128.84,1740,22607
1788184618,0,128.53,1740,22607
1788184619,0,127.96,1845,22607
1788184620,93,304.20,1830,22607
1788184621,93,348.13,1830,22607
1788184622,93,348.09,1830,22607
1788184623,92,348.30,1830,22607
1788184624,0,259.88,1890,22607
1788184625,0,170.04,1890,22607
1788184626,0,146.22,1740,22607
1788184627,40,135.12,1770,22607
1788184628,0,192.55,1770,22607
1788184629,0,143.58,1770,22607
1788184631,0,128.69,1740,22607
1788184632,0,127.58,1740,22607
1788184633,93,324.74,1830,22607
1788184634,92,348.51,1830,22607
1788184635,93,348.84,1845,22607
1788184636,93,348.39,1830,22607
1788184637,28,336.65,1890,22607
1788184638,0,175.58,1890,22607
